ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000228434.1	0	0	0	0	0	0	18	12
ENSG00000171444.13	14	0	7	0	360	0	0	0
ENSG00000081842.13	2	0	0	0	175	0	0	0
ENSG00000149781.8	5	0	0	0	5	0	0	0
ENSG00000226690.2	0	0	0	0	0	0	0	12
ENSG00000039560.9	59	1	5	0	198	0	0	0
ENSG00000251629.2	0	0	0	0	0	0	0	14
ENSG00000271992.1	0	0	0	0	0	0	1	0
ENSG00000173404.3	9	0	1	0	0	0	0	0
ENSG00000101745.11	191	5	7	0	190	0	0	0
ENSG00000162032.11	15	0	1	0	9	0	0	0
ENSG00000111775.2	18	0	7	0	2	0	0	0
ENSG00000214402.6	0	0	1	0	0	0	0	0
ENSG00000167881.10	57	1	2	0	55	0	0	0
ENSG00000254318.1	1	0	0	0	6	0	0	0
ENSG00000232907.3	0	0	0	0	0	0	5	156
ENSG00000169957.8	73	3	32	0	5	0	0	0
ENSG00000137760.10	13	2	6	0	37	0	0	0
ENSG00000224348.2	0	0	0	0	0	0	2	0
ENSG00000270689.1	0	0	0	0	0	0	1	0
ENSG00000248787.1	0	0	0	0	0	0	3	2
ENSG00000255203.1	0	0	0	0	0	0	1	0
ENSG00000168894.5	6	0	1	0	3	0	0	0
ENSG00000259318.1	0	0	0	0	0	0	1	0
ENSG00000135709.8	5	0	8	0	32	0	0	0
ENSG00000237296.5	0	0	0	0	0	0	11	9
ENSG00000244306.5	0	0	0	0	0	0	29	266
ENSG00000227562.1	0	0	0	0	0	0	0	3
ENSG00000272679.1	0	0	0	0	0	0	30	255
ENSG00000260804.2	0	0	0	0	0	0	3	0
ENSG00000233991.2	0	0	0	0	0	0	0	15
ENSG00000106443.10	166	3	6	0	508	0	0	0
ENSG00000197372.5	67	0	1	0	65	0	0	0
ENSG00000265334.1	0	0	0	0	0	0	0	1
ENSG00000263904.1	0	0	0	0	0	0	0	1
ENSG00000128191.9	183	8	14	0	102	0	0	0
ENSG00000181555.15	570	2	2	0	482	0	1	0
ENSG00000237788.1	0	0	0	0	0	0	25	0
ENSG00000242536.1	0	0	0	0	0	0	1	4
ENSG00000271774.1	0	0	0	0	0	0	1	76
ENSG00000214940.4	0	5	0	0	4	0	0	0
ENSG00000051382.4	13	1	2	0	140	0	0	0
ENSG00000179082.3	0	0	0	0	0	0	0	1
ENSG00000253893.2	0	0	0	0	0	0	0	14
ENSG00000112195.8	0	0	0	0	2	0	0	0
ENSG00000172215.5	1	0	0	0	0	0	0	0
ENSG00000254618.1	0	0	0	0	0	0	1	0
ENSG00000137312.10	27	2	1	0	41	0	0	0
ENSG00000259512.3	0	0	0	0	0	0	4	0
ENSG00000205971.1	0	0	2	0	0	0	0	0
ENSG00000115091.7	26	2	23	0	104	0	0	0
ENSG00000139579.8	10	1	3	0	6	0	0	0
ENSG00000105677.7	8	1	1	0	5	0	0	0
ENSG00000268975.1	0	0	0	0	0	0	10	27
ENSG00000155085.11	11	1	2	0	69	0	0	0
ENSG00000257860.1	0	0	0	0	1	0	0	0
ENSG00000237886.1	0	0	0	0	0	0	1	10
ENSG00000213908.3	0	0	0	0	0	0	0	1
ENSG00000228983.4	0	0	0	0	0	0	0	2
ENSG00000172071.7	16	1	1	0	75	0	0	0
ENSG00000176148.11	20	0	5	0	97	0	0	0
ENSG00000238164.2	0	0	0	0	0	0	2	2
ENSG00000259886.1	0	0	0	0	0	0	2	0
ENSG00000215529.8	1	0	0	0	17	0	0	0
ENSG00000267364.1	0	0	0	0	0	0	0	1
ENSG00000198929.8	14	17	6	0	315	0	0	15
ENSG00000129810.10	57	5	12	0	44	0	0	0
ENSG00000157502.8	6	0	1	0	19	0	0	0
ENSG00000047346.8	18	10	0	0	112	0	0	0
ENSG00000188501.7	1	0	0	0	1	0	0	0
ENSG00000131435.8	1	0	1	0	6	0	0	0
ENSG00000128185.5	7	1	0	0	8	0	0	0
ENSG00000268650.3	0	0	0	0	0	0	1	6
ENSG00000179021.5	17	1	8	0	8	0	0	12
ENSG00000173950.11	7	0	9	0	323	0	0	0
ENSG00000260803.1	0	0	0	0	0	0	5	8
ENSG00000246792.2	0	0	0	0	0	0	4	2
ENSG00000204427.7	9	0	2	0	17	0	0	0
ENSG00000263975.1	0	0	0	0	0	0	0	2
ENSG00000187741.10	149	0	18	0	355	0	0	0
ENSG00000200278.1	0	0	0	0	0	0	2	0
ENSG00000260580.1	0	0	0	0	0	0	0	3
ENSG00000178096.8	1	0	4	0	4	0	0	0
ENSG00000148408.8	43	1	2	0	257	0	0	0
ENSG00000259572.1	0	0	0	0	0	0	0	5
ENSG00000166689.10	27	0	4	0	154	0	0	0
ENSG00000138686.5	37	1	7	0	71	0	0	0
ENSG00000188636.3	3	1	19	0	1	0	0	0
ENSG00000172613.3	16	1	5	0	14	0	0	0
ENSG00000231165.3	0	0	0	0	0	0	1	0
ENSG00000203497.2	0	0	0	0	0	0	2	3
ENSG00000259205.2	0	0	0	0	0	0	32	17
ENSG00000091010.4	1	0	0	0	1	0	0	0
ENSG00000270113.1	0	0	0	0	0	0	1	0
ENSG00000255029.1	0	0	0	0	0	0	0	3
ENSG00000196243.5	0	0	0	0	0	0	0	1
ENSG00000197779.9	18	3	19	0	76	0	0	0
ENSG00000244067.1	0	0	0	0	1	0	0	0
ENSG00000264546.1	0	0	0	0	0	0	2	2
ENSG00000232498.1	0	0	0	0	0	0	0	4
ENSG00000176973.7	8	1	4	0	0	0	0	0
ENSG00000240521.1	0	0	0	0	0	0	0	8
ENSG00000225334.1	0	0	0	0	0	0	0	1
ENSG00000165388.8	2	0	2	0	4	0	0	0
ENSG00000099991.12	203	5	8	0	281	0	0	0
ENSG00000115414.14	52	3	2	0	18	0	0	0
ENSG00000146013.6	1	0	1	0	9	0	0	0
ENSG00000177853.10	0	0	0	0	0	0	312	234
ENSG00000234592.1	0	0	0	0	0	0	2	0
ENSG00000242474.1	0	0	0	0	0	0	0	11
ENSG00000128274.11	1	0	0	0	0	0	0	6
ENSG00000255201.1	0	0	0	0	0	0	0	2
ENSG00000135686.8	12	2	1	0	11	0	5	0
ENSG00000126524.5	20	1	4	0	2	0	0	0
ENSG00000135315.7	90	0	3	0	102	0	0	0
ENSG00000169213.6	4	0	16	0	26	0	0	0
ENSG00000233871.1	0	0	0	0	0	0	1	0
ENSG00000240405.1	0	0	0	0	0	0	0	1
ENSG00000144867.7	15	1	7	0	14	0	1	5
ENSG00000180279.5	0	0	0	0	0	0	1	0
ENSG00000053770.7	10	0	7	0	49	0	0	0
ENSG00000128805.10	17	2	0	0	204	0	0	0
ENSG00000174111.8	20	0	3	0	63	0	0	0
ENSG00000260139.2	0	0	0	0	0	0	1	2
ENSG00000120913.19	1	0	1	0	3	0	0	0
ENSG00000260345.1	0	0	0	0	0	0	2	0
ENSG00000269892.1	0	0	0	0	0	0	1	0
ENSG00000229313.1	0	0	0	0	0	0	0	3
ENSG00000116266.6	39	0	2	0	107	0	0	0
ENSG00000257267.1	0	0	0	0	0	0	88	53
ENSG00000176024.12	9	0	1	0	6	0	0	4
ENSG00000239732.2	1	12	1	0	5	0	0	0
ENSG00000225923.1	0	0	0	0	0	0	1	0
ENSG00000269131.1	0	0	0	0	0	0	1	0
ENSG00000177324.9	0	0	0	0	6	0	0	0
ENSG00000163873.5	7	0	2	0	81	0	0	0
ENSG00000213976.3	0	0	0	0	0	0	15	21
ENSG00000205212.3	1	0	0	0	3	0	0	4
ENSG00000179603.13	5	0	0	0	268	0	0	0
ENSG00000250102.1	0	0	0	0	0	0	0	7
ENSG00000183185.5	0	0	0	0	0	0	0	6
ENSG00000189091.8	177	5	14	0	207	0	0	0
ENSG00000129270.11	0	0	1	0	9	0	0	3
ENSG00000272034.1	0	0	0	0	0	0	33	0
ENSG00000207650.1	0	0	0	0	0	0	1	0
ENSG00000200972.1	0	0	0	0	0	0	760	0
ENSG00000267508.1	0	0	0	0	1	0	0	0
ENSG00000267642.1	0	0	0	0	0	0	3	2
ENSG00000167112.7	35	0	9	0	21	0	0	0
ENSG00000227479.1	0	0	0	0	0	0	1	5
ENSG00000162747.5	1	1	0	0	0	0	0	0
ENSG00000230323.1	0	0	0	0	0	0	0	60
ENSG00000179091.4	14	0	1	0	2	0	0	0
ENSG00000142546.9	15	1	0	0	35	0	0	0
ENSG00000109171.10	15	0	4	0	75	0	0	0
ENSG00000177469.12	8	3	5	0	9	0	0	0
ENSG00000237017.1	0	0	0	0	0	0	5	0
ENSG00000261838.1	0	0	0	0	0	0	0	1
ENSG00000105198.6	0	0	0	0	1	0	0	0
ENSG00000221869.4	2	1	0	0	0	0	0	0
ENSG00000074706.9	1	0	2	0	19	0	0	0
ENSG00000257950.3	0	0	0	0	0	0	7	9
ENSG00000255400.1	0	0	0	0	0	0	0	1
ENSG00000270344.1	0	0	0	0	0	0	1	12
ENSG00000128510.6	1	0	1	0	1	0	0	0
ENSG00000118420.12	16	1	0	0	394	0	0	0
ENSG00000040731.6	2	0	0	0	20	0	0	0
ENSG00000228643.1	0	0	0	0	0	0	0	6
ENSG00000229262.1	0	0	0	0	0	0	0	3
ENSG00000084628.5	0	0	4	0	23	0	0	0
ENSG00000268543.1	0	0	0	0	0	0	0	1
ENSG00000239002.2	0	0	0	0	0	0	118	0
ENSG00000233571.1	0	0	0	0	0	0	0	118
ENSG00000227053.1	0	0	0	0	0	0	1	1
ENSG00000187461.5	1	1	2	0	25	0	0	0
ENSG00000249112.1	0	0	0	0	0	0	0	2
ENSG00000219253.1	0	0	0	0	0	0	1	0
ENSG00000179988.9	5	0	0	0	7	0	0	29
ENSG00000116288.8	25	3	3	0	38	0	0	0
ENSG00000140350.11	71	5	18	0	157	0	0	0
ENSG00000120306.5	1	1	0	0	40	0	0	22
ENSG00000117245.8	13	0	0	0	54	0	0	0
ENSG00000239382.6	17	1	0	0	15	0	0	0
ENSG00000272780.1	0	0	0	0	0	0	17	30
ENSG00000227165.3	0	0	0	0	0	0	4	71
ENSG00000088726.11	0	0	0	0	4	0	0	0
ENSG00000152022.7	4	0	10	0	16	0	0	0
ENSG00000204851.5	0	0	1	0	0	0	0	1
ENSG00000228639.2	0	0	0	0	0	0	0	5
ENSG00000249803.1	0	0	0	0	0	0	0	9
ENSG00000273155.1	14	0	0	0	41	0	0	0
ENSG00000225529.2	0	0	0	0	0	0	0	1
ENSG00000241732.1	0	0	0	0	0	0	6	0
ENSG00000081051.3	2	0	0	0	0	0	0	0
ENSG00000143933.12	58	0	1	0	80	0	0	0
ENSG00000272002.1	0	0	0	0	0	0	2	0
ENSG00000238033.1	0	0	0	0	0	0	0	1
ENSG00000101188.4	3	1	1	0	13	0	0	0
ENSG00000229613.1	0	0	0	0	0	0	0	18
ENSG00000269728.1	0	0	0	0	0	0	9	0
ENSG00000255240.1	0	0	0	0	0	0	0	6
ENSG00000254438.1	0	0	0	0	0	0	1	0
ENSG00000234504.2	0	0	0	0	0	0	0	8
ENSG00000180447.5	17	9	8	0	0	0	0	0
ENSG00000160808.5	1	0	1	0	12	0	0	0
ENSG00000261520.1	0	0	0	0	0	0	0	1
ENSG00000166126.6	2	0	0	0	6	0	0	1
ENSG00000187140.4	6	0	1	0	0	0	0	0
ENSG00000138771.10	20	0	1	0	66	0	0	0
ENSG00000179163.11	4	0	1	0	8	0	0	0
ENSG00000236714.1	0	0	0	0	0	0	0	2
ENSG00000248964.2	0	0	0	0	0	0	0	4
ENSG00000188393.4	0	0	0	0	1	0	0	0
ENSG00000182866.12	0	0	0	0	6	0	0	0
ENSG00000265693.1	0	0	0	0	0	0	1	0
ENSG00000249430.1	0	0	0	0	0	0	2	92
ENSG00000271998.1	0	0	0	0	0	0	7	0
ENSG00000198643.2	0	0	0	0	14	0	0	0
ENSG00000160410.10	39	0	1	0	43	0	0	0
ENSG00000260848.1	0	0	0	0	0	0	0	3
ENSG00000109189.8	8	2	12	0	42	0	0	0
ENSG00000224982.2	0	0	1	0	4	0	0	0
ENSG00000213412.3	0	0	0	0	0	0	1	0
ENSG00000177294.6	0	0	0	0	1	0	0	1
ENSG00000198901.9	267	3	5	0	89	0	0	0
ENSG00000025770.14	64	0	6	0	29	0	0	0
ENSG00000226423.1	0	0	0	0	0	0	1	0
ENSG00000087842.6	3	1	0	0	32	0	0	0
ENSG00000040633.8	17	5	0	0	4	0	0	0
ENSG00000117222.9	34	1	15	0	63	0	0	0
ENSG00000244227.1	0	0	0	0	0	0	0	3
ENSG00000151687.10	4	0	0	0	55	0	0	13
ENSG00000228956.4	0	0	0	0	0	0	5	140
ENSG00000164715.5	52	3	20	0	125	0	0	0
ENSG00000236740.2	0	0	0	0	0	0	1	4
ENSG00000229154.1	0	0	0	0	0	0	0	3
ENSG00000260257.1	0	0	0	0	0	0	4	0
ENSG00000182393.2	1	0	0	0	3	0	0	0
ENSG00000248816.1	0	0	0	0	0	0	0	1
ENSG00000244122.2	0	0	0	0	2	0	0	0
ENSG00000138347.11	2	0	0	0	4	0	0	0
ENSG00000231083.1	0	0	0	0	0	0	0	4
ENSG00000268797.1	0	0	0	0	0	0	1	88
ENSG00000091490.6	11	0	1	0	52	0	0	0
ENSG00000147955.12	17	3	47	0	5	0	0	0
ENSG00000171992.8	5	0	8	0	23	0	0	0
ENSG00000254064.1	0	0	0	0	0	0	0	2
ENSG00000266614.1	1	0	0	0	0	0	0	0
ENSG00000257831.1	0	0	0	0	0	0	1	9
ENSG00000165416.10	26	0	35	0	31	0	0	0
ENSG00000099331.9	145	0	4	0	125	0	0	0
ENSG00000258202.1	0	0	0	0	0	0	1	1
ENSG00000225489.2	0	0	0	0	0	0	0	2
ENSG00000123636.13	125	4	2	0	292	0	0	0
ENSG00000166396.8	0	0	1	0	2	0	0	0
ENSG00000178773.10	4	0	0	0	21	0	0	0
ENSG00000119922.7	94	15	57	0	20	0	0	0
ENSG00000273253.1	0	0	0	0	0	0	4	0
ENSG00000196826.7	0	0	2	0	163	0	0	0
ENSG00000230772.1	0	0	0	0	0	0	7	0
ENSG00000265521.1	0	0	0	0	0	0	1	0
ENSG00000099246.12	8	1	10	0	59	0	0	0
ENSG00000229990.2	0	0	0	0	0	0	1	0
ENSG00000273328.1	0	0	0	0	0	0	0	35
ENSG00000240288.3	0	0	0	0	0	0	40	27
ENSG00000092036.12	25	9	1	0	17	0	0	0
ENSG00000261420.1	0	0	0	0	0	0	2	0
ENSG00000271717.1	0	0	0	0	0	0	0	4
ENSG00000254909.1	0	0	0	0	0	0	1	0
ENSG00000170089.11	0	0	0	0	0	0	1	57
ENSG00000227060.2	0	0	0	0	0	0	2	4
ENSG00000110074.6	8	0	4	0	34	0	0	0
ENSG00000013725.10	0	0	1	0	11	0	0	0
ENSG00000078725.8	0	0	0	0	32	0	0	0
ENSG00000261574.1	0	0	0	0	0	0	5	119
ENSG00000252531.1	0	0	0	0	0	0	1	0
ENSG00000127554.12	9	0	7	0	4	0	0	0
ENSG00000094914.8	17	0	0	0	23	0	0	0
ENSG00000179930.5	1	1	3	0	1	0	0	0
ENSG00000238231.2	0	0	0	0	0	0	2	0
ENSG00000186283.9	10	2	1	0	15	0	0	0
ENSG00000108559.7	36	0	3	0	60	0	0	86
ENSG00000132274.11	6	3	4	0	18	0	0	0
ENSG00000202198.1	0	0	0	0	0	0	2993	0
ENSG00000019169.9	0	1	0	0	9	0	0	0
ENSG00000185630.14	12	1	11	0	676	0	0	3
ENSG00000205643.6	2	0	1	0	4	0	0	0
ENSG00000112640.10	49	2	5	0	34	0	0	0
ENSG00000248600.1	0	0	0	0	0	0	0	1
ENSG00000267504.1	0	0	0	0	0	0	1	0
ENSG00000165821.7	31	2	4	0	2	0	0	0
ENSG00000251614.1	0	0	0	0	0	0	0	1
ENSG00000204305.9	6	2	0	0	3	0	0	0
ENSG00000251002.3	0	0	0	0	0	0	1	14
ENSG00000213809.4	1	1	0	0	1	0	0	0
ENSG00000254685.2	2	0	11	0	5	0	1	20
ENSG00000189433.5	0	0	3	0	1	0	0	0
ENSG00000232224.1	0	0	0	0	0	0	4	1
ENSG00000230601.1	0	0	0	0	0	0	0	1
ENSG00000251371.1	0	0	0	0	0	0	0	1
ENSG00000223634.1	0	0	0	0	0	0	1	0
ENSG00000101158.8	101	0	8	0	22	0	0	0
ENSG00000177191.2	1	0	0	0	3	0	0	0
ENSG00000088367.16	18	1	11	0	100	0	0	0
ENSG00000006210.6	0	1	1	0	0	0	0	0
ENSG00000133958.9	6	0	0	0	87	0	0	0
ENSG00000023697.8	11	2	2	0	143	0	0	0
ENSG00000247315.2	0	0	0	0	0	0	12	5
ENSG00000137841.7	2	0	3	0	4	0	0	3
ENSG00000133818.8	9	5	1	0	233	0	0	0
ENSG00000106976.14	114	0	11	0	162	0	0	0
ENSG00000245748.1	0	0	0	0	0	0	0	8
ENSG00000261783.1	0	0	0	0	0	0	1	1
ENSG00000207725.1	0	0	0	0	0	0	3	0
ENSG00000257480.1	0	0	0	0	0	0	1	0
ENSG00000250269.1	0	0	0	0	0	0	1	0
ENSG00000108100.13	9	1	7	0	323	0	0	0
ENSG00000226758.1	0	0	0	0	0	0	1	18
ENSG00000213411.2	0	0	0	0	0	0	3	3
ENSG00000269894.1	0	0	0	0	0	0	1	0
ENSG00000189339.7	9	3	19	0	41	0	0	0
ENSG00000148396.14	208	2	14	0	55	0	0	0
ENSG00000250306.1	0	0	0	0	0	0	1	0
ENSG00000255670.1	0	0	0	0	0	0	0	6
ENSG00000164109.9	10	0	15	0	5	0	0	0
ENSG00000230797.2	27	8	4	0	0	0	0	0
ENSG00000238556.1	0	0	0	0	0	0	1	0
ENSG00000161328.10	9	2	0	0	17	0	0	0
ENSG00000163581.9	0	0	0	0	3	0	0	0
ENSG00000118849.5	0	0	0	0	3	0	0	0
ENSG00000224682.1	0	0	0	0	0	0	1	0
ENSG00000176082.5	0	0	0	0	0	0	6	0
ENSG00000117143.9	21	3	1	0	37	0	0	0
ENSG00000156876.8	93	0	10	0	93	0	0	0
ENSG00000172508.6	1	0	1	0	7	0	1	0
ENSG00000137558.3	0	0	3	0	10	0	0	0
ENSG00000211683.3	0	0	0	0	0	0	8	6
ENSG00000205534.5	0	0	0	0	0	0	1	70
ENSG00000075407.13	95	8	144	0	104	0	0	0
ENSG00000254100.1	0	0	0	0	0	0	0	1
ENSG00000205339.5	161	3	28	0	385	0	0	0
ENSG00000229805.1	0	0	0	0	0	0	0	2
ENSG00000248858.3	0	0	0	0	0	0	1	21
ENSG00000123268.4	4	1	4	0	126	0	0	0
ENSG00000229057.1	0	0	0	0	0	0	2	2
ENSG00000130201.3	1	0	0	0	5	0	0	0
ENSG00000188223.9	0	0	0	0	0	0	12	17
ENSG00000261396.1	0	0	0	0	0	0	0	2
ENSG00000137486.12	6	0	3	0	39	0	0	0
ENSG00000100221.6	11	8	7	0	43	0	0	0
ENSG00000043039.5	3	2	0	0	23	0	0	0
ENSG00000196275.9	0	0	0	0	5	0	0	0
ENSG00000249055.1	0	0	0	0	0	0	3	0
ENSG00000227210.1	0	0	0	0	0	0	0	10
ENSG00000214597.4	5	0	0	0	1	0	4	0
ENSG00000237054.5	0	0	0	0	0	0	0	1
ENSG00000203809.5	0	0	0	0	0	0	0	1
ENSG00000225726.1	0	0	0	0	0	0	2	0
ENSG00000025796.9	151	7	44	0	355	0	0	0
ENSG00000101150.13	7	2	8	0	62	0	0	0
ENSG00000174405.9	16	2	5	0	16	0	0	0
ENSG00000269902.1	0	0	0	0	0	0	3	0
ENSG00000100926.10	77	2	1	0	62	0	0	0
ENSG00000109943.4	0	0	0	0	2	0	0	0
ENSG00000140832.5	0	0	1	0	2	0	0	0
ENSG00000187837.2	254	66	1	0	0	0	0	0
ENSG00000228672.2	18	1	0	0	0	0	0	0
ENSG00000247572.3	0	0	0	0	0	0	25	348
ENSG00000102401.15	2	7	16	0	3	0	0	0
ENSG00000171595.9	1	0	0	0	16	0	0	0
ENSG00000213188.3	0	0	0	0	0	0	7	0
ENSG00000169248.8	0	0	0	0	1	0	0	0
ENSG00000086827.4	33	2	0	0	35	0	0	0
ENSG00000250564.1	0	0	0	0	0	0	0	4
ENSG00000134240.7	0	0	0	0	2	0	0	0
ENSG00000182257.5	0	0	0	0	1	0	0	0
ENSG00000259402.1	0	0	0	0	0	0	1	0
ENSG00000183734.4	0	0	1	0	0	0	0	0
ENSG00000146151.8	1	0	1	0	29	0	0	0
ENSG00000254463.1	0	0	0	0	0	0	10	0
ENSG00000236039.1	0	0	0	0	0	0	0	1
ENSG00000269430.1	5	0	3	0	0	0	0	0
ENSG00000205213.9	8	0	3	0	108	0	0	0
ENSG00000130770.13	47	1	19	0	4	0	0	0
ENSG00000197165.6	0	0	0	0	1	0	0	0
ENSG00000078081.3	8	0	3	0	23	0	0	0
ENSG00000234979.1	0	0	0	0	0	0	0	3
ENSG00000145990.6	9	0	17	0	158	0	0	0
ENSG00000232352.1	0	0	0	0	0	0	0	1
ENSG00000230747.1	0	0	0	0	0	0	0	2
ENSG00000212998.1	1	0	0	0	0	0	0	0
ENSG00000241159.2	0	0	0	0	0	0	1	0
ENSG00000225369.1	0	0	0	0	0	0	5	0
ENSG00000174957.1	1	0	0	0	0	0	0	0
ENSG00000109205.12	0	0	0	0	1	0	0	0
ENSG00000107643.11	30	0	12	0	756	0	0	0
ENSG00000115353.6	0	1	0	0	15	0	0	0
ENSG00000101161.6	169	9	0	0	101	0	0	0
ENSG00000138294.9	0	0	0	0	1	0	0	0
ENSG00000227355.1	0	0	0	0	0	0	0	264
ENSG00000260078.3	0	0	0	0	0	0	1	0
ENSG00000267283.1	0	0	0	0	0	0	8	0
ENSG00000141068.9	24	2	6	0	138	0	0	0
ENSG00000112531.12	54	16	45	0	424	0	3	0
ENSG00000224187.1	0	0	0	0	0	0	1	3
ENSG00000261537.1	0	0	0	0	0	0	3	27
ENSG00000215455.4	1	0	1	0	0	0	0	0
ENSG00000163106.6	0	0	1	0	3	0	0	0
ENSG00000226698.1	0	0	0	0	0	0	0	1
ENSG00000147316.8	35	0	4	0	258	0	0	0
ENSG00000153046.13	62	4	5	0	384	0	0	0
ENSG00000205927.4	5	0	2	0	0	0	0	0
ENSG00000095906.12	19	1	1	0	13	0	0	0
ENSG00000214919.2	0	0	3	0	0	0	0	0
ENSG00000266930.2	0	0	0	0	0	0	2	2
ENSG00000226296.1	0	0	0	0	0	0	0	1
ENSG00000176761.6	0	0	0	0	0	0	0	1
ENSG00000119487.12	55	7	5	0	568	0	0	0
ENSG00000173557.10	0	0	0	0	2	0	0	0
ENSG00000083099.6	7	0	38	0	5	0	0	9
ENSG00000230302.2	0	0	0	0	0	0	1	0
ENSG00000237499.2	0	0	0	0	0	0	2	7
ENSG00000165650.7	128	3	16	0	241	0	0	0
ENSG00000211662.2	0	0	0	0	0	0	1	0
ENSG00000260583.1	0	0	0	0	0	0	4	0
ENSG00000176834.9	9	0	2	0	20	0	3	72
ENSG00000254532.1	0	0	0	0	0	0	0	8
ENSG00000226235.1	0	0	0	0	0	0	0	2
ENSG00000122254.6	1	0	0	0	19	0	0	0
ENSG00000230856.1	0	0	0	0	0	0	1	0
ENSG00000115540.10	6	0	12	0	45	0	0	0
ENSG00000185372.2	2	0	0	0	0	0	0	0
ENSG00000267623.2	0	0	0	0	0	0	0	4
ENSG00000248187.1	0	0	0	0	0	0	0	1
ENSG00000270994.1	0	0	0	0	0	0	1	0
ENSG00000261113.1	0	0	0	0	0	0	2	0
ENSG00000237940.3	0	0	0	0	0	0	12	20
ENSG00000214021.11	69	27	6	0	63	0	0	0
ENSG00000204304.7	37	4	7	0	14	0	0	0
ENSG00000149646.8	0	0	0	0	5	0	0	0
ENSG00000213614.5	28	0	6	0	94	0	0	0
ENSG00000269989.1	0	0	0	0	0	0	1	0
ENSG00000147604.9	20	1	3	0	7	0	0	0
ENSG00000260708.1	0	0	0	0	0	0	3	0
ENSG00000108641.10	1	1	1	0	100	0	0	0
ENSG00000248165.1	0	0	0	0	0	0	0	5
ENSG00000229404.1	0	0	0	0	0	0	14	9
ENSG00000150201.10	0	0	0	0	1	0	0	0
ENSG00000261402.1	0	0	0	0	0	0	1	0
